unit,score_mean,score_std,label,redundant_with,n_runs,reason,text
28,1.0,0.0,useful,,3,Reminds to save to output path.,wb.save(OUTPUT_PATH) ```
29,0.0,0.0,neutral,,3,Separator only.,---
30,0.0,0.0,neutral,,3,Section header only.,## Output Requirements
31,1.0,0.0,useful,,3,Reminds saving to OUTPUT_PATH.,- Save the result to `OUTPUT_PATH`.
32,1.0,0.0,useful,,3,"Avoids hardcoding dimensions, iterating real rows.",- Do not hardcode row counts or column letters — iterate over actual rows in the
33,2.0,0.0,essential,,3,Preserving unrelated sheets/cells is core to grading correctness.,- Preserve sheets and cells not mentioned in the instruction.
34,0.0,0.0,neutral,,3,Section header only.,## Matching and Target Range Hygiene
35,1.0,0.0,useful,,3,Guides choosing correct comparison operator from wording.,- Choose the comparison operator from the instruction and examples: use `startsw
36,1.0,0.0,useful,,3,Helpful normalization and numeric parsing guidance.,- Create small helper functions for comparisons and numeric parsing. Normalize t
37,1.0,0.0,useful,,3,Date normalization guidance prevents matching errors.,"- Normalize date keys deliberately: handle `datetime`/`date` objects, Excel seri"
38,1.0,0.0,useful,,3,Period-label canonicalization aids summary grids.,"- For monthly or period summary grids, canonicalize period labels from all sourc"
39,1.0,0.0,useful,,3,Inclusivity inference prevents off-by-one range errors.,"- For date ranges and rolling windows, infer endpoint inclusivity from wording a"
40,1.0,0.0,useful,,3,Time parsing and format guidance for time outputs.,"- For time extraction or time-threshold logic, parse `datetime`, `time`, Excel s"
41,1.0,0.0,useful,,3,Key building and order preservation for joins/groups.,"- For joins, deduplication, grouping, interval lookups, lookup grids, and ordere"
42,1.0,0.0,useful,,3,Two-pass approach avoids nested scans and handles sentinels.,"- For outputs that depend on other rows or lookup grids, make a first pass to bu"
43,1.0,0.0,useful,36,3,"Consistent key normalization for lookups, overlaps with 36.","- For lookups, filters, joins, and label/header matching, normalize comparison k"
44,1.667,0.471,essential,,3,Clear only target range while preserving formatting.,"- When replacing a generated output area, clear only the instructed target range"
45,1.0,0.0,useful,,3,Formatting application guidance with concrete ARGB example.,"- If the instruction includes formatting changes, apply them exactly after writi"
46,1.0,0.0,useful,,3,Prevents unwanted structural changes to source tables.,"- When the instruction names a destination range or columns, write derived resul"
47,1.0,0.0,useful,,3,Collect-then-write and clear leftover cells guidance.,"- For filtered lists, summaries, and aggregations, first collect all source reco"
48,1.0,0.0,useful,,3,"Preserve blanks as None not placeholder, affects exact matching.",- Preserve intended blanks as empty cells (`None`) rather than placeholder text 
49,1.0,0.0,useful,,3,"Distinguishes 0 vs blank for no-match, important for correctness.","- For numeric aggregation, crosstab, SUMIFS-like, and INDEX/MATCH-style summary "
50,1.0,0.0,useful,18,3,"Blank-sensitive logic with data_only, avoids formula-return pitfalls.","- For blank-sensitive logic such as “if input is blank, output blank,” evaluate "
51,0.0,0.0,neutral,,3,Section header only.,## Robustness for Simple Fill Tasks
52,1.0,0.0,useful,,3,Prefer simple loops and run once to catch errors.,"- Prefer simple, auditable row/column loops over complex workbook XML parsing un"
53,1.667,0.471,essential,20,3,"Reiterates writing literal values for formula/VBA requests, high-impact.","<!-- SLOW_UPDATE_START --> When the user asks for a formula, macro, VBA code, or"
54,1.0,0.0,useful,,3,Post-write verification that target cells are non-formula literals.,"After writing, reload or inspect the saved workbook and verify that every reques"
55,1.0,0.0,useful,21,3,"Use formulas as specs, compute referenced values.","Use existing formulas in the workbook as examples/specifications, not as output."
56,1.0,0.0,useful,50,3,Explicit branch computation for blank-sensitive formulas.,"For blank-sensitive formula tasks, compute the branch explicitly: if the driving"
57,1.0,0.0,useful,,3,"Lookup/category filling all destination rows, not just first.","For lookup/category tasks, locate both the input rows and the lookup table by he"
58,1.0,0.0,useful,,3,Infer nth-row/OFFSET params and copy literals.,"For “every nth row” or OFFSET-style tasks, infer the source column, first source"
59,1.0,0.0,useful,,3,Schedule/calendar cycle-day mapping guidance for specific task type.,"For schedule/calendar fill tasks, build a cycle-day-to-periods mapping from the "
60,1.0,0.0,useful,57,3,"Multi-key INDEX/MATCH filling whole matrix, addresses common failure.","For INDEX/MATCH problems where the first row works but subsequent rows fail, tre"
61,1.0,0.0,useful,,3,"Implement all steps of multi-step requests, re-read requirements.","For multi-step macro/VBA-style requests, implement every stated operation in the"
62,1.0,0.0,useful,,3,Handle special total/constraint/header rows carefully.,"When a target range includes special rows such as `Total`, `Grand Total`, `min`,"
63,0.0,0.0,neutral,,3,Very narrow residual-balancing recipe unlikely to generalize.,"For residual-balancing tasks, identify data rows separately from min/max constra"
64,1.0,0.0,useful,62,3,Distinguish normal vs summary rows for time thresholds.,"For time-threshold rows, decide per row whether it is a normal data row or a sum"
65,1.0,0.0,useful,52,3,"Keep scripts simple and execute to fix errors, overlaps with 52.",Keep scripts simple enough to run cleanly. Avoid unnecessary dynamic code genera
66,0.0,0.0,neutral,,3,Content-filter caution rarely affects task success.,If workbook cells contain arbitrary sample text that could be sensitive or trigg
